,Loss,Error
0,0.8801752,4029.7217
1,0.73330563,5738.0444
2,0.87810695,2938.9365
3,0.7697394,1.1667275
4,0.82413596,14904.167
5,0.9093678,0.9986708
6,0.64094514,6973.998
7,1.2720504,8660.332
8,0.58771926,1.1425468
9,0.56531835,21710.633
10,0.6235277,1.133935
11,0.7308305,29623.545
12,0.43585932,41609.297
13,0.44439805,29422.018
14,0.8534072,1.3351045
15,0.55305886,1.3677486
16,0.90634274,15820.129
17,0.7717265,1.2537129
18,0.4937259,56047.27
19,1.0623472,1.1314402
20,0.31514782,16668.96
21,0.60060245,16310.623
22,0.81091,16809.504
23,0.76626295,1.4692333
24,0.38911867,37560.043
25,0.94061553,32201.562
26,0.5710896,1.3824732
27,0.4652721,1.7006972
28,0.650132,26806.754
29,0.7117522,13436.122
30,0.6273388,12314.341
31,0.44719055,1.550878
32,0.43510497,11962.003
33,0.68406916,1.5909314
34,0.73176754,31524.941
35,0.63458705,21711.428
36,0.40851822,1.3552186
37,0.4849083,11171.144
38,0.5435895,12956.082
39,0.8772154,27853.879
40,0.62840307,23098.13
41,0.553097,10822.345
42,0.38436854,10292.066
43,0.45814335,1.1678691
44,0.5018352,1.5246234
45,0.5986861,12054.996
46,1.0692797,25559.197
47,0.30781448,23610.562
48,0.9710523,11813.098
49,0.32333285,23293.27
50,0.49354866,11500.475
51,0.39251575,1.0089945
52,0.5288671,11233.847
53,0.6190778,1.3164852
54,0.5143603,11438.926
55,0.22012898,37372.594
56,0.45406786,24637.81
57,0.6462862,1.289332
58,0.55317676,1.33944
59,0.65788627,11107.896
60,0.4930545,1.1489209
61,0.7130111,1.195721
62,0.31105953,21288.383
63,0.6567067,30098.08
64,0.42628992,1.2450894
65,0.3188349,10152.652
66,0.42710552,8298.738
67,0.46257675,21815.79
68,0.68736154,0.95057845
69,0.45551288,9417.25
70,0.49594942,10747.703
71,0.25884795,17068.184
72,0.29667568,17190.166
73,0.6660476,1.4666429
74,0.29296562,11157.856
75,0.40248343,14492.41
76,0.2821235,24793.49
77,0.61218524,1.6031598
78,0.45335594,1.2186897
79,0.51544505,1.0877842
80,0.3090335,1.5886909
81,0.41030902,6703.031
82,0.566135,14434.202
83,0.263449,42779.277
84,0.3744864,8938.439
85,0.315256,7684.479
86,0.5160574,1.4334437
87,0.21517183,9108.053
88,0.34311712,15715.538
89,0.4638408,14682.824
90,0.42370334,1.137438
91,0.20576991,7085.7236
92,0.2009918,28562.805
93,0.27908581,14209.489
94,0.63457304,1.2557737
95,0.45141295,1.4064047
96,0.3052981,15506.243
97,0.259914,5101.4033
98,0.36794814,4931.1597
99,0.28801438,6619.8926
100,0.4757229,0.93194366
101,0.44979918,7534.528
102,0.3084072,16880.941
103,0.1906294,10954.033
104,0.40202135,0.80104876
105,0.3426199,1.2381607
106,0.24489985,6738.213
107,0.38912466,8094.1562
108,0.32078135,7060.1567
109,0.2801271,6270.8027
110,0.3028668,5559.6543
111,0.22265683,5495.6655
112,0.3880414,9361.337
113,0.30445302,11976.507
114,0.20214444,12000.969
115,0.3023955,1.606288
116,0.30181062,6169.546
117,0.386192,11542.194
118,0.3214916,17745.889
119,0.22273357,16505.629
120,0.24508612,20157.479
121,0.27889183,6448.688
122,0.3419773,1.4880452
123,0.12630014,1.1703128
124,0.3188373,27667.938
125,0.29088193,13612.901
126,0.32006776,13556.16
127,0.30537465,7513.6294
