,Loss,Error
0,1.2560332,1.0520431
1,0.7277704,593200.0
2,1.7209995,1.2466316
3,0.878259,1.1333632
4,0.77260727,1.0076975
5,0.68748546,1.1205535
6,1.0500844,1.2194815
7,0.7222875,1461438.0
8,0.7893319,1.0858209
9,0.66805595,1.0408978
10,0.7237974,1.238203
11,1.2538593,1.3096555
12,1.2534171,1.5440449
13,0.51789653,0.85549325
14,0.97051173,1.5549953
15,0.7193388,1.086924
16,0.9017922,2050063.5
17,0.67159814,1.063405
18,0.7949533,1.1924758
19,0.5849115,1.0242221
20,1.1291324,2072959.1
21,0.89292115,0.97993594
22,0.5983855,1.1991869
23,0.70331764,1.8417829
24,0.62393075,1.2470666
25,0.8129434,1.4783864
26,0.41937605,1.3358736
27,1.0790724,1.2279339
28,0.56876,1846082.8
29,1.0439196,1.2812546
30,0.71975183,0.9945827
31,0.63995975,1822667.2
32,0.48133504,1.2814345
33,0.85465604,0.8344606
34,0.8961537,1.2730559
35,0.77121484,1.2135595
36,0.60796,1.4729089
37,0.6599051,1803197.9
38,0.4369622,1.5939903
39,0.5264893,0.8574387
40,0.6846853,1.1691519
41,1.3580273,1.1832741
42,0.5518653,1.1179353
43,0.69600934,1.3655725
44,1.0987058,1.3895842
45,0.4141725,1.2314126
46,0.6175231,1.0362161
47,0.7681297,1.4279451
48,0.78344285,1.0959729
49,0.50995487,1.4589531
50,0.4160519,0.96802086
51,0.84731954,1.1770657
52,0.9079875,1616332.5
53,0.43242052,1.2324147
54,0.4806441,1.2195725
55,0.49782243,1606988.1
56,0.6384803,1.1734481
57,0.6935721,1.3915489
58,0.5933398,1.4458717
59,0.5057117,1.3600304
60,0.9955705,1.6256735
61,0.38935852,0.99391025
62,0.4833,0.88895756
63,0.7285594,1595656.5
64,0.487375,1.2116901
65,0.41753948,1.5647187
66,0.8335821,1.0237215
67,0.7180485,0.98434734
68,0.6155011,1.1164948
69,0.3382843,1.37597
70,0.5321852,1.3910333
71,0.49822867,1523569.6
72,0.25248155,0.9935322
73,0.8193008,1.1378765
74,0.3580355,0.93841755
75,0.47638357,1.4605385
76,0.875432,1.1606325
77,0.5704861,1.6849523
78,0.73289806,1.0623951
79,0.68998474,0.87130314
80,0.37493417,1.4199839
81,0.5360327,1747790.4
82,0.43416083,1.5719336
83,0.55420834,1.0852534
84,0.32686722,0.8855735
85,0.47833744,0.7105601
86,0.67618144,1.9425327
87,0.57993174,1.3357643
88,0.76666045,1.1340938
89,0.34500512,1609459.9
90,0.40482056,1525117.0
91,0.46604142,1.4962236
92,0.9067151,1.0428973
93,0.33169344,1.0576905
94,0.54567695,1.1908044
95,0.30513522,0.965142
96,0.44940513,0.93112576
97,0.3971322,1.1147656
98,0.88842493,1.5456424
99,0.49333224,1.0052271
100,0.3002885,0.92416066
101,0.2932752,1514876.1
102,0.37194368,0.82756674
103,0.34187773,1.0151367
104,0.56946254,2.1006444
105,0.98128676,1660226.6
106,0.32209712,0.8556904
107,0.25351405,1.083154
108,0.3280868,0.8746877
109,0.39217225,0.91016704
110,0.2865391,1.0257049
111,0.2483124,1.5835433
112,0.300029,1.185567
113,0.630182,2139130.2
114,0.25195828,1.3146806
115,0.3945416,0.7728622
116,0.36552572,0.6181514
117,0.36471024,2614826.2
118,0.37146342,1.0867372
119,0.86752445,1.6561699
120,0.20683858,1.337608
121,0.37707773,1.2143255
122,0.46380246,0.79764724
123,0.54501015,0.7462781
124,0.6954171,1.1153111
125,0.21514621,1623778.2
126,0.5803387,1.0600138
127,0.40248758,1.0668933
128,0.3026175,0.8874037
129,0.51723975,1277984.4
130,0.35196924,0.6476705
131,0.3257994,1.0174537
132,0.53703433,1.1794114
133,0.31474614,0.8464696
134,0.22359838,0.6345753
135,0.34087202,1.3546338
136,0.68771267,1.3878661
137,0.25521997,0.9074653
138,0.57147104,0.9888848
139,0.31586412,1.2526755
140,0.21441089,1.3124822
141,0.24151976,0.5415897
142,0.5623525,1866073.4
143,0.40034115,0.86177707
144,0.54289067,0.6989397
145,0.18383515,1827992.8
146,0.26879606,0.81789875
147,0.36606672,0.99944633
148,0.18242835,1.1513333
149,0.31133133,0.83894575
150,0.38302878,1.020589
151,0.44466484,1.0953066
152,0.22550076,0.91350365
153,0.23708078,1734291.4
154,0.1661697,0.5440986
155,0.7284084,1.2965358
156,0.22959569,1747849.1
157,0.2983788,0.703868
158,0.13574736,0.77358556
159,0.48709404,0.8807563
160,0.73802453,1.3321048
161,0.18295044,1.0348551
162,0.27123398,0.5726912
163,0.19399714,0.57866514
164,0.18174958,1840742.6
165,0.8831304,0.78633994
166,0.19886328,1.0878191
167,0.32379413,1.4001813
168,0.1719271,0.8609534
169,0.3053506,1.0012022
170,0.162355,0.72176814
171,0.36906525,1640475.5
172,0.66144156,1.13829
173,0.3133459,0.9695342
174,0.19409887,1504720.6
175,0.2857756,1.2072588
176,0.18702394,0.83111423
177,0.62288547,0.86722565
178,0.22755271,0.8580086
179,0.40395746,0.7536557
180,0.20806248,0.7080114
181,0.2120205,1645512.8
182,0.3654048,0.6919911
183,0.27048242,0.70345724
184,0.63261086,0.54239047
185,0.17409132,0.6532992
186,0.5557568,1.0445929
