,Loss,Error
0,1.1396325,1.1736954
1,0.98857254,1.171023
2,0.95388305,1.3572562
3,0.9396155,1.4691395
4,0.9326711,1.4651276
5,0.9259402,1.4139833
6,0.922632,1.382128
7,0.9342536,1.3919033
8,0.96056366,1.4129423
9,0.98276967,1.4175419
10,0.9953819,1.3389411
11,1.0344065,1.3365887
12,1.0969387,1.3677545
13,1.1326001,1.4449039
14,1.178657,1.4623246
15,1.3037393,1.5049144
16,1.3221033,1.5425677
17,1.3173159,1.4935796
18,1.4822115,1.6785123
19,1.5236259,1.6883473
20,1.5804613,1.7351003
21,1.6424141,1.7704924
