,Loss,Error
0,0.53857946,2110262.5
1,0.49148107,1610210.4
2,0.4656096,1437934.8
3,0.44882137,1538145.2
4,0.43850097,1806186.2
5,0.4294014,1940759.6
6,0.42116967,2049705.2
7,0.41719848,2219166.0
8,0.41203985,2374922.8
9,0.4092961,2514135.8
10,0.40547723,2603043.5
11,0.403112,2709249.0
12,0.4017741,2763245.2
13,0.39858085,2807116.8
14,0.40008402,2864467.0
15,0.3964158,2818323.2
16,0.39560208,2894581.2
17,0.39273685,3040160.8
18,0.39220887,2914337.5
19,0.38949203,3117512.2
20,0.38859248,3066361.2
21,0.383754,2942558.2
22,0.3928983,3129764.0
23,0.38004223,3196050.8
24,0.39001736,3152784.0
25,0.3841891,3313490.0
26,0.38862354,3156457.5
27,0.38662547,3181953.2
28,0.38828513,3146320.8
29,0.38269383,3080562.0
30,0.38930792,3077751.8
31,0.37849206,3145132.5
32,0.38494316,3148093.5
33,0.3778769,3171232.8
34,0.38233662,3039944.5
35,0.37881202,3003338.0
36,0.38418227,3125577.5
37,0.37945968,3129777.5
38,0.3844299,3139751.5
39,0.37497622,3079633.2
40,0.39246207,3108417.0
41,0.37370765,3169882.8
42,0.3861301,3195122.0
43,0.37537628,3189938.5
44,0.3854598,3324171.0
45,0.38126174,3337967.5
46,0.387815,3284261.5
47,0.38085476,3317770.5
48,0.38219756,3472971.5
49,0.38908577,3395394.5
50,0.38342738,3437807.2
