,DATE,wind_x,wind_y,ceiling,visibility,pressure,dew,precipitation_duration,precipitation_depth,pm25,mean_aod,min_aod,max_aod,grid_id,location,tz,wkt,Latitudes,Longitudes
72032999999,2018-02-01,1.659421084,44.85310295,22000,16070.65278,,-29.16666667,,,11.1,0.077972973,0.036,0.133,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-03,-13.0188265,62.08735103,21710.95833,16025.95833,,-4.583333333,,,27.3,0.078,0.057,0.103,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-04,40.65416854,85.34636924,22000,15869.52778,,-23.88888889,,,22.15555556,0.064031746,0.019,0.168,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-05,-35.17533687,66.75014976,22000,16025.95833,,6.76056338,,,8.9,0.082714286,0.022,0.184,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-06,6.566719794,53.68079659,22000,15668.40278,,43.75,,,22.1,0.071452381,0.042,0.13,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-07,-11.50677313,68.73111499,22000,15757.75,,-19.86111111,,,7.9,0.058547619,0.02,0.118,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-08,-46.34645527,100.5985442,22000,16093,,-73.88888889,,,12.6,0.040214286,0.021,0.083,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-09,27.21680192,87.38214541,22000,15936.56944,,-55.83333333,,,11.4,0.079761905,0.049,0.116,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-11,17.16971433,77.08783034,18401.625,15154.29167,,60.44117647,,,14.1,0.112928571,0.058,0.217,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-13,-10.45177729,32.19098273,13132.19355,16070.65278,,28.33333333,,,9.75,0.109619048,0.03,0.225,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
